TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS
Atlanta Hawks,82,43,39,0.524,48.1,113.9,41.5,88.3,47,12.9,34.4,37.4,18.1,22.3,81.2,10,33.9,44,24.6,11.9,7.2,4.2,4.5,18.7,20.3,1.6,41.9,89,47.1,12.8,35.2,36.4,15.8,19.9,79.2,10.2,33.6,43.9,25.4,12.8,7,4.5,4.2,20.3,18.7,112.4
Boston Celtics,82,51,31,0.622,48.5,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17,20.9,81.6,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,7.3,38.3,88.1,43.4,11.8,34.9,33.9,16.1,20.6,78.3,10.5,33.3,43.7,21.6,13.8,7.5,4.6,5.8,19.4,18.5,104.5
Brooklyn Nets,82,44,38,0.537,48.2,112.9,42,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,0.8,40.7,90.2,45.2,12.5,36.3,34.5,18.1,23,78.8,11.3,32.8,44.1,23.8,13.3,7.9,4.9,5.5,19.7,20.4,112.1
Chicago Bulls,82,46,36,0.561,48.1,111.6,41.7,86.9,48,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5,18.8,18.2,-0.4,41.4,87.4,47.4,11.7,32,36.6,17.4,21.9,79.5,9.3,33.9,43.2,25,13.1,7.1,5,4.1,18.2,18.8,112
Charlotte Hornets,82,43,39,0.524,48.5,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,0.4,42,90.1,46.6,14,38.7,36.2,16.9,22.1,76.3,11.4,35.6,47,26.5,15,7.5,4.6,4.9,19.6,19.9,114.9
Cleveland Cavaliers,82,44,38,0.537,48.1,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76,10.2,34,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20,2.1,39.5,87.2,45.2,11.7,33.2,35.3,15,19.4,77.4,10.5,32.4,42.9,24.1,13.4,8.4,4.6,4.2,20,17.5,105.7
Dallas Mavericks,82,52,30,0.634,48.2,108,39.3,85.1,46.1,13.1,37.4,35,16.4,21.2,77.1,9.3,33.8,43,23.4,12.5,6.7,4,3.7,19.7,20.1,3.3,39,85.4,45.7,10.9,32.1,34,15.8,20.6,76.7,9.5,34.1,43.6,23.5,13.1,7,3.7,4,20.1,19.7,104.7
Denver Nuggets,82,48,34,0.585,48.3,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21,79.5,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20,19.9,2.3,41.1,87.4,47,11.8,34.2,34.6,16.5,21.7,75.7,9.7,32.7,42.4,25.4,12.8,7.9,4.8,3.7,19.9,20,110.4
Detroit Pistons,82,23,59,0.28,48.2,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22,78.2,11,32,43,23.5,14.2,7.7,4.8,5.2,21.9,19.8,-7.7,40.6,86,47.3,11.8,32.5,36.2,19.5,25.1,77.7,10.3,35.9,46.3,25.1,14.6,7.4,5.2,4.8,19.8,21.9,112.5
Golden State Warriors,82,53,29,0.646,48.1,111,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21,18,5.5,37.9,86.6,43.8,12.2,36,33.9,17.4,22.9,75.9,9.7,33,42.6,22.9,14.5,7.9,3.9,4.5,18,21,105.5
